Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2021,Mercedes-Benz GLC Coupe 300 4MATIC,"33,000",Petrol,Automatic,61,"Thygaraya Nagar, Chennai"
2017,Maruti Celerio VXI,"44,330",Petrol,Manual,3.63,"Ganapathipuram, Chennai"
2021,MG Hector Hybrid Sharp MT,"42,000",Petrol,Manual,13.90,"Anna Nagar West Extension, Chennai"
2014,Honda Brio S MT,"75,091",Petrol,Manual,3.20,"Meenambakkam, Chennai"
2018,Tata Tigor XZ Plus,"81,026",Petrol,Manual,4.41,"Ganapathipuram, Chennai"
2021,Mahindra Thar LX 4WD Convert Top AT BSVI,"40,000",Petrol,Automatic,14.50,"Anna Nagar West Extension, Chennai"
2023,MG Hector Plus 2.0 Sharp Pro 7 Str Diesel BSVI,"42,634",Diesel,Manual,24.25,"Nandanam, Chennai"
2018,Honda City VX MT,"54,000",Petrol,Manual,8.25,"Thygaraya Nagar, Chennai"
2022,Maruti Swift VXI BSVI,"24,000",Petrol,Manual,6.99,"Koyambedu, Chennai"
2022,Tata Altroz XZA DCT BSVI,"34,232",Petrol,Automatic,7.39,"Vadapalani, Chennai"
2022,Maruti S-Presso VXi Plus BSVI,"7,358",Petrol,Manual,4.80,"Chromepet, Chennai"
2022,Hyundai Alcazar 1.5 Signature (O) 7-Seater Diesel AT,"44,000",Diesel,Automatic,18,"Anna Nagar, Chennai"
2018,Maruti Baleno 1.2 Zeta,"32,908",Petrol,Manual,5.68,"Thiruverkadu, Chennai"
2021,Volkswagen Polo GT 1.0 TSI,"72,045",Petrol,Automatic,8.15,"Vadapalani, Chennai"
2019,Renault Duster RXZ 110PS AMT BSIV,"60,000",Diesel,Automatic,9.70,"Anna Nagar, Chennai"
2014,Honda City i VTEC CVT SV,"80,206",Petrol,Automatic,5.85,"Chromepet, Chennai"
2022,Mercedes-Benz EQS 580 4Matic,"4,700",Electric,Automatic,92,"Medavakkam, Chennai"
2024,Toyota Innova Hycross ZX(O) Hybrid,"19,000",Petrol,Automatic,38.50,"Thygaraya Nagar, Chennai"
2019,Hyundai Verna VTVT 1.6 AT SX Option,"19,000",Petrol,Automatic,9.50,"Thygaraya Nagar, Chennai"
2019,Tata Nexon 1.2 Revotron XZA Plus,"83,058",Petrol,Automatic,6.95,"Chromepet, Chennai"
2019,Tata Tiago XZ Plus,"29,639",Petrol,Manual,4.83,"Vadapalani, Chennai"
2020,BMW 5 Series 520d Luxury Line,"59,000",Diesel,Automatic,45,"Thygaraya Nagar, Chennai"
2016,Maruti Swift Dzire VXI,"74,570",Petrol,Manual,4.89,"Ganapathipuram, Chennai"
2022,Mercedes-Benz AMG GLA 35 4MATIC,"10,000",Petrol,Automatic,52,"Medavakkam, Chennai"
2019,Hyundai Xcent 1.2 VTVT S,"94,881",Petrol,Manual,4.56,"Thiruverkadu, Chennai"
2017,Hyundai Grand i10 Magna,"55,824",Petrol,Manual,4.45,"Thygaraya Nagar, Chennai"
2017,Maruti Swift Dzire AMT VDI,"86,000",Diesel,Automatic,6.70,"Anna Nagar, Chennai"
2015,Honda Amaze S Petrol,"96,616",Petrol,Manual,4.10,"Meenambakkam, Chennai"
2019,Volkswagen Polo 1.0 MPI Comfortline,"35,163",Petrol,Manual,5.24,"Thiruverkadu, Chennai"
2019,Maruti Swift VXI,"17,000",Petrol,Manual,6.20,"Koyambedu, Chennai"
2017,Maruti Baleno 1.2 CVT Alpha,"81,948",Petrol,Automatic,5.13,"Thiruverkadu, Chennai"
2019,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"74,366",Petrol,Automatic,4.86,"Thiruverkadu, Chennai"
2018,Skoda Superb Corporate 1.8 TSI MT,"60,450",Petrol,Manual,19,"Anna Nagar, Chennai"
2019,Maruti Swift Dzire VXI 1.2,"93,607",Petrol,Manual,5.45,"Ganapathipuram, Chennai"
2019,Hyundai i20 Sportz Plus BSIV,"75,842",Petrol,Manual,6.32,"Ganapathipuram, Chennai"
2016,Honda City i VTEC V,"75,378",Petrol,Manual,4.99,"Vadapalani, Chennai"
2019,Maruti Swift ZXI Plus,"24,985",Petrol,Manual,5.81,"Vadapalani, Chennai"
2017,Maruti Baleno 1.2 Zeta,"80,000",Petrol,Manual,5.80,"Velacheri, Chennai"
2017,BMW X3 xDrive20d Expedition,"1,56,000",Diesel,Automatic,20,"Ashoknagar, Chennai"
2018,Maruti Swift Dzire ZXI Plus,"62,404",Petrol,Manual,6.55,"Meenambakkam, Chennai"
2019,Maruti Vitara Brezza ZDi AMT,"90,000",Diesel,Automatic,8.50,"Ashoknagar, Chennai"
2016,Volvo V40 D3,"67,000",Diesel,Automatic,13,"Ashoknagar, Chennai"
2021,Renault Triber RXZ BSVI,"37,000",Petrol,Manual,5.35,"Koyambedu, Chennai"
2021,Hyundai Venue SX Opt Turbo,"49,333",Petrol,Manual,7.82,"Ganapathipuram, Chennai"
2016,Honda Amaze VX AT i-Vtech,"34,750",Petrol,Automatic,4.84,"Thiruverkadu, Chennai"
2022,Hyundai Creta SX Opt Diesel AT,"23,000",Diesel,Automatic,17.75,"Thygaraya Nagar, Chennai"
