Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,Tata Harrier XZ,"16,000",Diesel,Manual,15.95,"Nagadenahalli, Bangalore"
2020,Kia Seltos GTX,"58,962",Petrol,Manual,12.81,"Bellandur, Bangalore"
2016,Hyundai i20 Sportz 1.2,"47,163",Petrol,Manual,5.93,"Yelahanka, Bangalore"
2016,Honda Jazz 1.2 S AT i VTEC,"48,000",Petrol,Automatic,5.25,"Maruthi Nagar, Bangalore"
2011,Chevrolet Beat LT,"70,000",Petrol,Manual,1.55,Bangalore
2021,Renault Triber RXZ Dual Tone,"33,976",Petrol,Manual,8.53,"Btm Layout, Bangalore"
2020,Kia Seltos GTX Option,"49,635",Petrol,Manual,14.50,"Bommanahalli, Bangalore"
2022,Volkswagen Tiguan 2.0 TSI Elegance BSVI,"15,000",Petrol,Automatic,39,"Ramamurthy Nagar, Bangalore"
2023,MG Comet EV Plush,"7,200",Electric,Automatic,7.85,"Nagadenahalli, Bangalore"
2020,Kia Sonet GTX Plus Diesel AT,"54,048",Diesel,Automatic,11.50,"BTM Layout, Bangalore"
2018,Hyundai i20 1.2 Asta Option,"44,175",Petrol,Manual,6.79,"Mahadevapura, Bangalore"
2018,Maruti Vitara Brezza VDi,"81,000",Diesel,Manual,8.45,"Hosur Road, Bangalore"
2022,Mahindra XUV300 W8 BSVI,"20,000",Petrol,Manual,9.25,Bangalore
2021,Renault Kiger RXZ Turbo CVT,"26,164",Petrol,Automatic,8.55,"Samethanahalli, Bangalore"
2023,Maruti Baleno Zeta Diesel,"19,785",Diesel,Manual,8.32,"Malleswaram, Bangalore"
2019,Hyundai i20 Magna Plus BSIV,"35,534",Petrol,Manual,6.25,"Singasandra, Bangalore"
2023,Kia Sonet GTX Plus Turbo DCT BSVI,"15,000",Petrol,Automatic,13.90,"Indiranagar, Bangalore"
2016,Maruti Alto K10 VXI AMT,"52,480",Petrol,Automatic,3.28,"Jakkur, Bangalore"
2015,Maruti Swift VDI BSIV,"60,000",Diesel,Manual,5.20,"J P Nagar, Bangalore"
2019,Hyundai Creta 1.6 SX Automatic,"11,967",Petrol,Automatic,12.71,"Adugodi, Bangalore"
2021,Hyundai Tucson GLS AT,"27,000",Petrol,Automatic,22.90,"Indiranagar, Bangalore"
2019,Ford Ecosport 1.0 Ecoboost Titanium Plus BSIV,"41,000",Petrol,Manual,8.49,"Adugodi, Bangalore"
2020,MG Gloster Sharp 6-Str,"37,000",Diesel,Automatic,32.32,"Adugodi, Bangalore"
2023,Kia Carens Prestige BSVI,"17,000",Petrol,Manual,12.75,"Hosur Road, Bangalore"
2016,BMW X3 xDrive 20d xLine,"92,000",Diesel,Automatic,24.45,"Indiranagar, Bangalore"
2018,Maruti Baleno Alpha Diesel,"60,407",Diesel,Manual,6.98,"Yelahanka, Bangalore"
2018,Hyundai i20 1.2 Asta Option,"32,261",Petrol,Manual,6.50,"Mahadevapura, Bangalore"
2015,Maruti Swift VXI,"44,800",Petrol,Manual,4.65,"Amruthahalli, Bangalore"
2013,Mini Cooper S Carbon Edition,"29,000",Petrol,Automatic,17.45,"Indiranagar, Bangalore"
2022,Maruti Grand Vitara Alpha AWD,"53,265",Petrol,Manual,15,"Marathahalli Colony, Bangalore"
2022,Kia Seltos GTX Plus,"51,538",Petrol,Manual,16.45,"Bellandur, Bangalore"
2016,Ford Ecosport 1.5 Petrol Titanium Plus BSIV,"18,500",Petrol,Manual,6.91,"Adugodi, Bangalore"
2018,Mercedes-Benz GLS 350d Grand Edition,"75,000",Diesel,Automatic,58.46,"Indiranagar, Bangalore"
2018,Hyundai EON Magna Plus,"64,635",Petrol,Manual,3.74,"Yelahanka, Bangalore"
2017,Hyundai i20 1.2 Asta Option,"34,403",Petrol,Manual,6.03,"Hoodi, Bangalore"
2020,Hyundai Venue S Turbo DCT BSIV,"35,966",Petrol,Automatic,8.74,"BTM Layout, Bangalore"
2017,Mercedes-Benz GLC Progressive 220d,"46,500",Diesel,Automatic,38.94,"Indiranagar, Bangalore"
2019,Renault KWID Climber 1.0 AMT,"87,431",Petrol,Automatic,3.65,"Yelahanka, Bangalore"
2016,Honda City i VTEC CVT VX,"52,159",Petrol,Automatic,7.95,"City, Bangalore"
2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,"49,215",Petrol,Manual,5.07,"Malleswaram, Bangalore"
2023,Tata Harrier XTA Plus AT,"6,050",Diesel,Automatic,20.98,"Indiranagar, Bangalore"
2020,Kia Seltos HTK Plus G,"55,551",Petrol,Manual,9.69,"Singasandra, Bangalore"
