Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2015,Nissan Micra XL,"39,000",Petrol,Manual,4.55,"Ramdev Nagar, Ahmedabad"
2018,Hyundai EON Magna,"58,034",Petrol,Manual,3.42,"Gota, Ahmedabad"
2018,Datsun GO T,"36,628",Petrol,Manual,2.60,"Gota, Ahmedabad"
2014,Hyundai i10 Sportz 1.1L,"58,000",Petrol,Manual,3.15,"Naranpura, Ahmedabad"
2016,Honda Amaze VX AT i-Vtech,"57,000",Petrol,Automatic,4.50,"Makarba, Ahmedabad"
2016,Mahindra KUV 100 NXT G80 K2 Plus 6 Str,"24,291",Petrol,Manual,3.55,"Gota, Ahmedabad"
2022,Maruti Wagon R LXI BSVI,"42,105",Petrol,Manual,4.63,"Mumatpura, Ahmedabad"
2018,Maruti Celerio X ZXI,"60,701",Petrol,Manual,3.97,"Gota, Ahmedabad"
2015,Maruti Ciaz ZXi,"43,255",Petrol,Manual,5.64,"Gota, Ahmedabad"
2016,Hyundai i20 Sportz 1.2,"59,611",Petrol,Manual,4.65,"Mumatpura, Ahmedabad"
2020,Hyundai i20 Magna 1.2,"36,066",Petrol,Manual,5.57,"Gota, Ahmedabad"
2020,Hyundai Venue S,"32,289",Petrol,Manual,6.17,"Naroda, Ahmedabad"
2013,Ford Ecosport 1.0 Ecoboost Titanium,"43,828",Petrol,Manual,4.07,"Gota, Ahmedabad"
2018,Hyundai i20 1.2 Magna Executive,"36,509",Petrol,Manual,5.88,"Gota, Ahmedabad"
2019,Renault Triber RXZ,"30,526",Petrol,Manual,4.76,"Mumatpura, Ahmedabad"
2021,Maruti Wagon R VXI,"10,000",Petrol,Manual,5.75,"Paldi, Ahmedabad"
2022,Maruti Alto 800 LXi,"22,418",Petrol,Manual,3.67,"Gota, Ahmedabad"
2015,Honda Jazz 1.2 S i VTEC,"78,000",Petrol,Manual,3.60,"Makarba, Ahmedabad"
2022,Maruti Ignis 1.3 Sigma,"28,809",Diesel,Manual,4.92,"Gota, Ahmedabad"
2018,Maruti Dzire VXI,"44,730",Petrol,Manual,5.46,"Gota, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Magna BSIV,"54,150",Petrol,Manual,4.60,"Gota, Ahmedabad"
2019,Hyundai i20 Magna 1.2,"45,324",Petrol,Manual,5.90,"Gota, Ahmedabad"
2020,Maruti Baleno Zeta,"70,299",Petrol,Manual,6.07,"Mumatpura, Ahmedabad"
2017,Ford Ecosport 1.5 Ti VCT MT Trend BSIV,"57,591",Petrol,Manual,4.83,"Naroda, Ahmedabad"
2017,Maruti Ignis Alpha,"37,562",Petrol,Manual,4.91,"Gota, Ahmedabad"
2022,Hyundai Venue SX Turbo iMT,"49,499",Petrol,Manual,8.63,"Gota, Ahmedabad"
2017,Maruti Celerio VXI,"59,076",Petrol,Manual,4,"Gota, Ahmedabad"
2015,Honda Jazz 1.5 SV i DTEC,"85,000",Diesel,Manual,4.75,"Ambawadi, Ahmedabad"
2021,Renault KWID 1.0 RXT Opt,"45,366",Petrol,Manual,3.68,"Gota, Ahmedabad"
2015,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"67,361",Petrol,Manual,4.22,"Gota, Ahmedabad"
2020,Renault Triber RXZ,"44,924",Petrol,Manual,5.46,"Gota, Ahmedabad"
2018,Honda Amaze S i-VTEC,"64,000",Petrol,Manual,5.75,"Makarba, Ahmedabad"
2018,Maruti Celerio X ZXI,"30,206",Petrol,Manual,4.64,"Gota, Ahmedabad"
2018,Nissan Micra Active XV,"49,000",Petrol,Manual,3.75,"Naranpura, Ahmedabad"
2016,Honda Brio S MT,"42,539",Petrol,Manual,3.10,"Mumatpura, Ahmedabad"
2015,Hyundai EON Era,"34,050",Petrol,Manual,2.68,"Gota, Ahmedabad"
2014,Honda Amaze 2nd Gen S,"1,06,163",Petrol,Manual,3.92,"Gota, Ahmedabad"
2018,Honda Jazz V,"46,095",Petrol,Manual,4.46,"Gota, Ahmedabad"
2020,Volkswagen Vento Red And White Edition,"1,11,219",Petrol,Automatic,7.50,"Gota, Ahmedabad"
2017,Maruti Celerio VXI,"61,774",Petrol,Manual,3.80,"Gota, Ahmedabad"
2021,Hyundai i20 Asta Turbo DCT,"47,792",Petrol,Automatic,8.47,"Gota, Ahmedabad"
2020,Hyundai Santro Magna Executive CNG,"44,170",CNG,Manual,5.02,"Gota, Ahmedabad"
2015,Hyundai i20 Asta 1.2,"36,839",Petrol,Manual,5.54,"Gota, Ahmedabad"
2018,Maruti Celerio X AMT ZXI BSIV,"56,028",Petrol,Automatic,3.68,"Mumatpura, Ahmedabad"
2020,Maruti Celerio VXI,"23,576",Petrol,Manual,4.34,"Gota, Ahmedabad"
2015,Maruti Alto K10 LXI CNG,"56,000",CNG,Manual,3.25,"Pada Pole Gandhi Road, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"48,826",Petrol,Manual,5.91,"Gota, Ahmedabad"
2014,Hyundai i20 Asta 1.2,"64,000",Petrol,Manual,4.65,"Makarba, Ahmedabad"
2020,Renault Triber RXT BSIV,"74,700",Petrol,Manual,5.30,"Vasna, Ahmedabad"
