Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2015,Nissan Micra XL,64000,Petrol,Manual,375000,Ahmedabad
2015,Hyundai Grand i10 Magna,55000,Petrol,Manual,400000,Ahmedabad
2017,Maruti Baleno 1.2 Alpha,78000,Petrol,Manual,595000,Ahmedabad
2015,Nissan Micra XL,39000,Petrol,Manual,455000,Ahmedabad
2018,Hyundai EON Magna,58034,Petrol,Manual,342000,Ahmedabad
2018,Datsun GO T,36628,Petrol,Manual,260000,Ahmedabad
2014,Hyundai i10 Sportz 1.1L,58000,Petrol,Manual,315000,Ahmedabad
2016,Honda Amaze VX AT i-Vtech,57000,Petrol,Automatic,450000,Ahmedabad
2016,Mahindra KUV 100 NXT G80 K2 Plus 6 Str,24291,Petrol,Manual,355000,Ahmedabad
2022,Maruti Wagon R LXI BSVI,42105,Petrol,Manual,463000,Ahmedabad
2018,Maruti Celerio X ZXI,60701,Petrol,Manual,397000,Ahmedabad
2015,Maruti Ciaz ZXi,43255,Petrol,Manual,564000,Ahmedabad
2016,Hyundai i20 Sportz 1.2,59611,Petrol,Manual,465000,Ahmedabad
2020,Hyundai i20 Magna 1.2,36066,Petrol,Manual,557000,Ahmedabad
2020,Hyundai Venue S,32289,Petrol,Manual,617000,Ahmedabad
2013,Ford Ecosport 1.0 Ecoboost Titanium,43828,Petrol,Manual,407000,Ahmedabad
2018,Hyundai i20 1.2 Magna Executive,36509,Petrol,Manual,588000,Ahmedabad
2019,Renault Triber RXZ,30526,Petrol,Manual,476000,Ahmedabad
2021,Maruti Wagon R VXI,10000,Petrol,Manual,575000,Ahmedabad
2022,Maruti Alto 800 LXi,22418,Petrol,Manual,367000,Ahmedabad
2015,Honda Jazz 1.2 S i VTEC,78000,Petrol,Manual,360000,Ahmedabad
2022,Maruti Ignis 1.3 Sigma,28809,Diesel,Manual,492000,Ahmedabad
2018,Maruti Dzire VXI,44730,Petrol,Manual,546000,Ahmedabad
2019,Hyundai Grand i10 1.2 Kappa Magna BSIV,54150,Petrol,Manual,459999,Ahmedabad
2019,Hyundai i20 Magna 1.2,45324,Petrol,Manual,590000,Ahmedabad
2020,Maruti Baleno Zeta,70299,Petrol,Manual,607000,Ahmedabad
2017,Ford Ecosport 1.5 Ti VCT MT Trend BSIV,57591,Petrol,Manual,483000,Ahmedabad
2017,Maruti Ignis Alpha,37562,Petrol,Manual,491000,Ahmedabad
2022,Hyundai Venue SX Turbo iMT,49499,Petrol,Manual,863000,Ahmedabad
2017,Maruti Celerio VXI,59076,Petrol,Manual,400000,Ahmedabad
2015,Honda Jazz 1.5 SV i DTEC,85000,Diesel,Manual,475000,Ahmedabad
2021,Renault KWID 1.0 RXT Opt,45366,Petrol,Manual,368000,Ahmedabad
2015,Hyundai Grand i10 1.2 Kappa Sportz BSIV,67361,Petrol,Manual,422000,Ahmedabad
2020,Renault Triber RXZ,44924,Petrol,Manual,546000,Ahmedabad
2018,Honda Amaze S i-VTEC,64000,Petrol,Manual,575000,Ahmedabad
2018,Maruti Celerio X ZXI,30206,Petrol,Manual,463999,Ahmedabad
2018,Nissan Micra Active XV,49000,Petrol,Manual,375000,Ahmedabad
2016,Honda Brio S MT,42539,Petrol,Manual,310000,Ahmedabad
2015,Hyundai EON Era,34050,Petrol,Manual,268000,Ahmedabad
2014,Honda Amaze 2nd Gen S,106163,Petrol,Manual,392000,Ahmedabad
2018,Honda Jazz V,46095,Petrol,Manual,446000,Ahmedabad
2020,Volkswagen Vento Red And White Edition,111219,Petrol,Automatic,750000,Ahmedabad
2017,Maruti Celerio VXI,61774,Petrol,Manual,380000,Ahmedabad
2021,Hyundai i20 Asta Turbo DCT,47792,Petrol,Automatic,847000,Ahmedabad
2020,Hyundai Santro Magna Executive CNG,44170,CNG,Manual,501999,Ahmedabad
2015,Hyundai i20 Asta 1.2,36839,Petrol,Manual,554000,Ahmedabad
2018,Maruti Celerio X AMT ZXI BSIV,56028,Petrol,Automatic,368000,Ahmedabad
2020,Maruti Celerio VXI,23576,Petrol,Manual,434000,Ahmedabad
2015,Maruti Alto K10 LXI CNG,56000,CNG,Manual,325000,Ahmedabad
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,48826,Petrol,Manual,591000,Ahmedabad
2014,Hyundai i20 Asta 1.2,64000,Petrol,Manual,465000,Ahmedabad
2020,Renault Triber RXT BSIV,74700,Petrol,Manual,530000,Ahmedabad
2024,Maruti Wagon R VXI 1.2,7223,Petrol,Manual,581000,Ahmedabad
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,80119,Petrol,Manual,473000,Ahmedabad
2015,Hyundai i20 Asta 1.2,70458,Petrol,Manual,513000,Ahmedabad
2016,Maruti Alto 800 VXI,54743,Petrol,Manual,286000,Ahmedabad
2017,Maruti Alto 800 LXi,45893,Petrol,Manual,299000,Ahmedabad
2016,Maruti Alto 800 LXI,48723,Petrol,Manual,244000,Ahmedabad
2021,MG Hector Sharp DCT,19000,Petrol,Automatic,1475000,Ahmedabad
2017,Maruti Alto 800 LXi,62163,Petrol,Manual,278000,Ahmedabad
2015,Honda Amaze S i-VTEC,66934,Petrol,Manual,395000,Ahmedabad
2022,Honda Amaze VX i-VTEC,23708,Petrol,Manual,719000,Ahmedabad
2018,Honda Jazz V,66619,Petrol,Manual,480000,Ahmedabad
2016,Maruti Celerio ZXI AMT,17363,Petrol,Automatic,382000,Ahmedabad
2020,Hyundai Venue SX,27337,Petrol,Manual,923000,Ahmedabad
2021,Kia Sonet HTK Plus Turbo iMT BSVI,42939,Petrol,Manual,727000,Ahmedabad
2023,Tata Tiago 1.2 Revotron XZ Plus,9330,Petrol,Manual,633000,Ahmedabad
2020,Maruti Wagon R VXI,26359,Petrol,Manual,422000,Ahmedabad
2017,Honda City i VTEC VX,60000,Petrol,Manual,695000,Ahmedabad
2011,Honda City 1.5 S MT,75000,Petrol,Manual,350000,Ahmedabad
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,31149,Petrol,Manual,467000,Ahmedabad
2022,Hyundai Santro Sportz,19855,Petrol,Manual,480000,Ahmedabad
