Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2022,Mercedes-Benz E-Class Exclusive E 200 BSVI,"16,500",Petrol,Automatic,59.90,"Khar (w), Mumbai"
2019,Hyundai Venue S BSIV,"41,000",Petrol,Manual,7.25,"Andheri West, Mumbai"
2017,Skoda Superb Style 2.0 TDI AT,"51,000",Diesel,Automatic,17.35,"Borivali West, Mumbai"
2017,Jeep Compass 1.4 Limited,"49,000",Petrol,Automatic,9.75,"Ins Hamla, Mumbai"
2020,MG Hector Sharp DCT,"23,000",Petrol,Automatic,12.95,"Jogeshwari West, Mumbai"
2015,Maruti Swift Dzire VXI,"46,000",Petrol,Manual,4.95,"Thurbe, Navi Mumbai"
2018,Audi Q3 30 TFSI Premium FWD,"68,000",Petrol,Automatic,22.51,"Borivali West, Mumbai"
2021,Toyota Urban cruiser Premium AT,"16,000",Petrol,Automatic,9.25,"Khar (w), Mumbai"
2016,BMW X1 M Sport sDrive 20d,"52,000",Diesel,Automatic,14.95,"Chembur, Mumbai"
2018,Mahindra NuvoSport N6,"88,000",Diesel,Manual,4.10,"Andheri East, Mumbai"
2022,BMW 5 Series 520d Luxury Line,"12,000",Diesel,Automatic,64.90,"Borivali West, Mumbai"
2008,Ambassador Grand 2000 DSZ,"5,142",Diesel,Manual,6.75,"Borivali West, Mumbai"
2023,MG Hector Sharp Pro CVT,"13,500",Petrol,Automatic,20.85,"Andheri, Mumbai"
2023,Maruti Celerio ZXI Plus AMT BSVI,"8,760",Petrol,Automatic,6.49,"Ghatkopar West, Mumbai"
2022,Maruti S Cross Zeta AT,"6,200",Petrol,Automatic,10.80,"Vileparle(west) S.o, Mumbai"
2019,Maruti Ciaz Delta 1.5,"72,000",Diesel,Manual,6.20,"Nerul, Navi Mumbai"
2017,Maruti Celerio ZXI AMT BSIV,"38,170",Petrol,Automatic,3.95,"Antop Hill, Mumbai"
2019,Toyota Fortuner 2.8 2WD AT BSIV,"60,000",Diesel,Automatic,31.99,"Andheri West, Mumbai"
2016,Mahindra XUV500 AT W10 FWD,"72,000",Diesel,Automatic,9.99,"Borivali West, Mumbai"
2018,Maruti Baleno 1.2 CVT Zeta,"57,000",Petrol,Automatic,5.75,"Kapad Bazar, Mumbai"
2015,Honda City i VTEC CVT VX,"1,17,000",Petrol,Automatic,5.75,"Thurbe, Navi Mumbai"
2018,Mahindra TUV 300 T8,"77,000",Diesel,Manual,6.75,"Andheri East, Mumbai"
2015,Mercedes-Benz C-Class C 200 CGI,"71,000",Petrol,Automatic,16.50,"Vileparle(west) S.o, Mumbai"
2017,Maruti Baleno 1.2 CVT Zeta,"41,300",Petrol,Automatic,5.59,Thane
2023,MG Astor Savvy CVT Red BSVI,"9,690",Petrol,Automatic,14,"Borivali West, Mumbai"
2016,Maruti Baleno 1.2 Alpha,"27,000",Petrol,Manual,5.50,"Antop Hill, Mumbai"
2011,Audi A4 1.8 TFSI,"43,000",Petrol,Automatic,7.75,"Borivali West, Mumbai"
2015,Maruti Ertiga VXI CNG,"1,17,000",CNG,Manual,6.15,"Andheri West, Mumbai"
2023,Skoda Kushaq 1.0 TSI Style AT,"8,000",Petrol,Automatic,18.50,"Thane West, Mumbai"
2017,Maruti Ciaz 1.4 Alpha,"63,741",Petrol,Manual,5.51,"Mulund West, Mumbai"
2016,Honda City i VTEC VX Option,"75,000",Petrol,Manual,5.95,"Andheri West, Mumbai"
2011,Skoda Laura 2.0 TDI AT L and K,"90,000",Diesel,Automatic,3.50,"Kapad Bazar, Mumbai"
2016,Honda City i VTEC CVT SV,"53,000",Petrol,Automatic,5.65,"Juhu, Mumbai"
2019,Audi A3 35 TFSI Premium Plus,"54,000",Petrol,Automatic,18.25,"Andheri East, Mumbai"
2021,Kia Seltos HTX IVT G,"13,000",Petrol,Automatic,15.25,"Vileparle(west) S.o, Mumbai"
2021,Hyundai Creta EX BSVI,"9,999",Petrol,Manual,10.90,"Andheri West, Mumbai"
2013,BMW 3 Series 320d Sport Line,"57,000",Diesel,Automatic,12.95,"Andheri East, Mumbai"
2020,Maruti Ciaz 1.4 AT Alpha,"35,000",Petrol,Automatic,7.95,"Kandivali West, Mumbai"
2016,Maruti Ciaz AT ZXi,"48,746",Petrol,Automatic,5.25,"West, Thane"
2014,Maruti Swift VVT VXI,"35,000",Petrol,Manual,3.35,"Nehru Nagar, Mumbai"
2022,Kia Seltos X-Line Diesel AT,"11,700",Diesel,Automatic,17.75,"Goregaon (w), Mumbai"
2016,Honda City i VTEC CVT VX,"32,000",Petrol,Automatic,6.75,"Chembur, Mumbai"
2018,Mercedes-Benz GLC 300 4MATIC Sport,"52,700",Petrol,Automatic,33,"Vileparle(west) S.o, Mumbai"
2018,Land Rover Discovery Sport SD4 HSE Luxury 7S,"48,000",Diesel,Automatic,31,"Andheri West, Mumbai"
2023,Audi A4 Premium Plus BSVI,"2,800",Petrol,Automatic,33.95,"Goregaon (w), Mumbai"
2016,Maruti Ciaz VDi Plus SHVS,"1,15,000",Diesel,Manual,5.51,"Andheri East, Mumbai"
2024,Maruti Swift ZXi Plus,"1,900",Petrol,Manual,9.60,"Andheri, Mumbai"
2022,Maruti Celerio ZXI AMT,"11,381",Petrol,Automatic,6.25,"West, Thane"
2018,Volvo S90 D4 Inscription BSIV,"35,000",Diesel,Automatic,55,"Khar (w), Mumbai"
2023,Tata Altroz XZ,"4,684",Petrol,Manual,8.40,"Chembur, Mumbai"
2019,Hyundai Grand i10 Magna CNG,"36,728",CNG,Manual,4.79,"West, Thane"
2019,BMW X5 xDrive 30d Sport,"25,000",Diesel,Automatic,38.80,"Andheri East, Mumbai"
2018,Toyota Innova Crysta 2.4 G MT BSIV,"63,000",Diesel,Manual,18.45,"Kandivali West, Mumbai"
2022,Kia Sonet GTX Plus Diesel AT BSVI,"7,959",Diesel,Automatic,14.50,"Borivali West, Mumbai"
2021,Ford Ecosport Titanium Diesel,"75,123",Diesel,Manual,9.90,"West, Thane"
2021,Kia Seltos GTX Plus Diesel AT,"35,000",Diesel,Automatic,17.50,"Mulund West, Mumbai"
2018,Volvo XC40 D4 R-Design,"22,635",Diesel,Automatic,27.25,"Andheri East, Mumbai"
2022,Volkswagen Taigun 1.5 TSI GT Plus DSG,"18,000",Petrol,Automatic,16.25,"Andheri East, Mumbai"
2021,Maruti Wagon R CNG LXI,"55,481",CNG,Manual,5.69,"West, Thane"
2023,BMW X1 sDrive18d M Sport,"26,000",Diesel,Automatic,52.50,"Goregaon (w), Mumbai"
2019,Maruti Ertiga ZXI,"18,000",Petrol,Manual,9,"Malad, Mumbai"
2016,Volkswagen Vento 1.6 Comfortline,"15,169",Petrol,Manual,5.50,"Borivali West, Mumbai"
2018,Maruti Swift Dzire AMT ZXI,"52,257",Petrol,Automatic,5.99,"West, Thane"
2024,Maruti Wagon R VXI,"1,500",Petrol,Manual,7,"Vitthalwadi, Thane"
2013,Ford Ecosport 1.5 DV5 MT Ambiente,"1,12,000",Diesel,Manual,4,"Thurbe, Navi Mumbai"
2021,Renault Triber RXT,"72,768",Petrol,Manual,5.27,"Goregaon East, Mumbai"
2022,Maruti S Cross Alpha,"44,293",Petrol,Manual,6.99,"West, Thane"
2019,Maruti Baleno 1.2 Delta,"37,761",Petrol,Manual,5.90,"Borivali West, Mumbai"
2021,MG Hector Sharp Diesel Dualtone,"26,887",Diesel,Manual,14.50,"Mulund West, Mumbai"
2022,Kia Seltos HTX IVT,"12,854",Petrol,Automatic,15.95,"Borivali West, Mumbai"
